station,model,history_hours,horizon,n,mae,rmse,mase,bias,high_n,high_mae,high_bias,overall_pinball,overall_coverage80,overall_width80,high_pinball,high_coverage80,high_width80
Aotizhongxin,Chronos-2,24,1,140,13.552799357686723,21.817073102728592,0.24076748481912805,3.2046761478696553,32,24.068811416625977,3.6742734909057617,4.402320242155166,0.75,46.201621011325294,8.300212383270264,0.8125,85.39360046386719
Aotizhongxin,Chronos-2,24,6,140,51.70391040188925,81.83038943566646,0.9185276144235069,1.674370653288705,33,77.86141967773438,-33.9163466944839,17.877613344760167,0.6214285714285714,112.41371286255973,26.005482995389684,0.696969696969697,193.96204642093542
Aotizhongxin,Chronos-2,24,24,140,82.85489217894418,120.69074103641235,1.4719294123962747,12.10974759374346,28,121.86291108812604,-46.05585411616734,28.736294559808005,0.55,180.10401939153672,41.25804721060253,0.6428571428571429,351.8779330253601
Aotizhongxin,Chronos-2,72,1,140,12.506099264962332,20.39891741308844,0.22217270288263702,4.0896382331848145,32,23.668717861175537,5.07590913772583,4.117192918573107,0.7714285714285715,39.39561839444297,7.825828806559245,0.78125,73.53225755691528
Aotizhongxin,Chronos-2,72,6,140,45.99536411421639,77.62031198561527,0.8171144454255442,-3.0706214700426373,33,80.65458448005445,-43.238778779000945,15.688015809059142,0.6714285714285714,108.39988346099854,27.145690817784775,0.6666666666666666,196.68072949033794
Aotizhongxin,Chronos-2,72,24,140,77.6827242578779,110.59366403178431,1.380045084402367,0.6809934207371303,28,115.02251740864345,-88.80649873188564,25.549179005395796,0.5857142857142857,189.02801318849836,38.29058377629235,0.6428571428571429,280.26049668448314
Aotizhongxin,Chronos-2,168,1,140,13.347762094225203,22.19204221645267,0.23712496751219037,3.3475374630519323,32,24.479897499084473,2.5875654220581055,4.5036440601803,0.7357142857142858,39.28906482287815,8.311296447118123,0.78125,79.81593561172485
Aotizhongxin,Chronos-2,168,6,140,47.714486612592424,80.67666288198099,0.8476549108383385,-13.711872400556292,33,95.45407532200669,-78.55807460438122,15.540676767939615,0.6642857142857143,109.69872166088649,31.681300292352233,0.6666666666666666,211.60245849146986
Aotizhongxin,Chronos-2,168,24,140,68.0380537373679,98.05278582538692,1.2087060863218455,-25.488197483335224,28,147.62731879098075,-133.13640975952148,20.84879360630399,0.6571428571428571,161.7747602054051,44.391465105329246,0.5357142857142857,247.80651800973075
Aotizhongxin,Chronos-2,720,1,140,11.88407209941319,20.225648608972044,0.21112229829935827,3.9582708767482213,32,20.391794681549072,3.501274585723877,4.012645915803455,0.7071428571428572,37.28144418171474,7.34334618250529,0.84375,73.30798578262329
Aotizhongxin,Chronos-2,720,6,140,40.33191449301584,72.35327086343521,0.7165024253764962,-9.617243875776019,33,83.76471386533795,-59.91787141742128,13.574753733589537,0.7214285714285714,103.28450378690447,29.103335216791944,0.7878787878787878,199.81327750466087
Aotizhongxin,Chronos-2,720,24,140,55.935000841958185,83.27382261370374,0.9936935617980523,-11.631603990282331,28,118.3292852129255,-89.22917556762695,16.6620336269197,0.7214285714285714,159.75541410446166,33.105355044773646,0.7142857142857143,255.8311764853341
Aotizhongxin,Chronos-2,2160,1,140,12.510265404837472,20.36343966015896,0.22224671497362047,3.952223232814244,32,22.119792461395264,3.487853527069092,4.145148593811761,0.7285714285714285,36.2316808291844,7.400292634963989,0.78125,64.86156463623047
Aotizhongxin,Chronos-2,2160,6,140,42.9032874924796,76.35911403010034,0.7621832469745503,-8.074053505488804,33,86.14348556056167,-58.73852469704368,14.556544702166601,0.7071428571428572,107.37903624943324,29.836510043674043,0.696969696969697,196.61409065940163
Aotizhongxin,Chronos-2,2160,24,140,62.68823229925973,87.7095138853982,1.1136657173257383,-11.420139135633196,28,122.87188652583531,-106.04137243543353,18.684722906748455,0.6785714285714286,175.32476055962698,36.418706226348874,0.6428571428571429,253.90402902875627
Aotizhongxin,LightGBM calendar,0,1,140,76.36209546302214,99.72468287503733,1.3565839185630904,-11.223010749327964,32,158.41582091572212,-158.41582091572212,,,,,,
