model,history_hours,horizon,n,mae,rmse,mase,bias,high_n,high_mae,high_bias,overall_pinball,overall_coverage80,overall_width80,high_pinball,high_coverage80,high_width80,mae_ci_low,mae_ci_high,delta_vs_persistence,delta_ci_low,delta_ci_high
Chronos-2,24,1,1596,12.617018884734103,23.37831415130709,0.23662720988206065,0.9266000694798348,328,23.170742453598393,0.4148285563399152,4.400776603168115,0.8032581453634086,48.70499351045542,8.032339217023152,0.8597560975609756,99.27139528786263,11.762610883517386,13.444995846833217,0.8670188847341036,0.1797297524497955,1.5648794542588795
Chronos-2,24,6,1596,45.207943431566235,73.59012895902309,0.8444009734956366,0.9337322056144103,324,70.4347818515919,-28.416551837214715,16.042327696493295,0.6528822055137845,114.7419780268705,24.174483663358803,0.7469135802469136,232.63788932929805,41.18754971490655,48.84099676096657,5.909071251115106,4.246459694128919,7.631492549599917
Chronos-2,24,24,1596,82.45891631306861,134.24024974483584,1.541799817047771,8.684298422402307,349,135.5788770582751,-46.984471148952714,30.143438720553736,0.4981203007518797,216.84851803098405,52.832652976793,0.5071633237822349,518.2580497380998,76.45402280815209,88.17394281845782,6.02219952108866,3.454284763593693,8.956665316919736
Chronos-2,72,1,1596,11.82196661344447,20.67237865728577,0.2223752927731416,1.3505371339936603,328,21.4070789523241,-0.5190938158733088,4.070070376402155,0.7913533834586466,40.08342507578676,7.291125514642979,0.8475609756097561,78.11322375041682,10.975773226739385,12.67552917604714,0.07196661344446932,-0.16587480812386118,0.3732236786389282
Chronos-2,72,6,1596,41.07801273412872,67.15363982933596,0.7688035610605715,-0.7671783406632885,324,68.49077395450922,-32.051412570623704,14.040901602240732,0.6917293233082706,103.84884544123982,22.66606249416807,0.6975308641975309,196.9199733910737,37.40199202900312,44.54636155388198,1.77914055367759,0.8739137154816633,2.674138913939395
Chronos-2,72,24,1596,77.8338587355793,109.53566069043869,1.458958379538207,0.7944909008523277,349,126.73294118209009,-83.78055778547139,25.390697697439883,0.5789473684210527,181.2596318533546,41.77091400889749,0.5702005730659025,271.3581761084177,73.13837807555618,82.59943165938225,1.3971419435993473,-0.615817203011287,3.3108910118154506
Chronos-2,168,1,1596,12.001647232170392,20.778464243352474,0.22597153836518724,1.6055080328967637,328,21.61178884273622,-0.48919824274574836,4.074803980818966,0.7844611528822055,39.100276083874526,7.325974690817235,0.8719512195121951,81.96678270944734,11.215530542462483,12.765543667084723,0.2516472321703918,-0.08625301509019823,0.6263917390080094
Chronos-2,168,6,1596,40.63287317424191,66.2994751682827,0.7599508180926808,-8.742239588782901,324,78.35610300228919,-61.81319001280231,13.056621951895547,0.7017543859649122,106.03950951123298,24.612630270734247,0.7376543209876543,216.94743673301036,36.77024866307492,44.09716501767339,1.334000993790782,0.006444893741779011,2.643808009908178
Chronos-2,168,24,1596,67.03037531901721,98.99593918465727,1.259625793628136,-23.46446370929106,349,141.81130842083164,-130.53190154264172,21.399803053904495,0.6553884711779449,157.16893824987244,46.19852525935132,0.5587392550143266,238.4794066355358,64.42179707128624,69.71992383478138,-9.406341472962746,-11.361032318086977,-7.3937036237784834
Chronos-2,720,1,1596,11.35946582254013,19.688481945474564,0.21369751875412024,1.8916113036019462,328,20.18105190556224,0.43626157248892433,3.924431154941058,0.7581453634085213,37.50224985992699,7.178747588832203,0.8384146341463414,77.86740979915712,10.676370322257,11.929331652071495,-0.3905341774598698,-0.7393215599725536,-0.039084923339133076
Chronos-2,720,6,1596,35.73597977215186,60.21664966753752,0.6687711563155808,-6.280256475721087,324,70.64197577959226,-51.762475472909436,11.578878438801395,0.7343358395989975,102.47386333757176,23.106792218400617,0.7345679012345679,202.73856492690098,32.49563243013556,38.38234227446542,-3.562892408299267,-4.702241553182528,-2.383037884419981
Chronos-2,720,24,1596,58.42777073413208,88.03216993244398,1.0972338837111257,-13.547515630124506,349,118.02039252994395,-104.30763674192238,17.940250934853392,0.6766917293233082,157.53458974176183,35.8511823331729,0.5959885386819485,240.05002949230993,55.09227574732527,61.92484134477311,-18.008946057847865,-19.985580264305593,-16.08729268599362
Chronos-2,2160,1,1596,11.20112595402806,19.539362893529812,0.2106322278726259,1.7604969127435135,328,19.649886852357447,-0.8978877649074648,3.9150987270979853,0.7600250626566416,35.454525182719216,6.805913796463633,0.8292682926829268,67.80583321175924,10.497058924903047,11.82328947626261,-0.5488740459719398,-0.9056966853872785,-0.20591592758232216
Chronos-2,2160,6,1596,37.30708645101179,63.29846581192737,0.6969126805528588,-3.912553568531696,324,69.3875740663505,-49.090347643251775,12.399965947094618,0.724937343358396,104.80214463618763,23.245103806232716,0.7191358024691358,199.01975294984416,33.66038352000376,40.578436834452084,-1.9917857294393362,-3.117967930161845,-1.0108303054606484
Chronos-2,2160,24,1596,61.82613799685524,88.04114425528076,1.1602456431717258,-13.082079242046614,349,121.22350809703926,-111.41103905183196,18.941973121502844,0.6635338345864662,169.9433042817845,37.302823531980614,0.5415472779369628,243.43181549443898,58.29930562914031,65.62657134123334,-14.610578795124713,-16.319844303991328,-12.951668959951228
LightGBM calendar,0,1,1596,75.58990948165052,104.77037226762104,1.4200554627379574,-11.446091161513925,328,171.81272972658545,-171.81272972658545,,,,,,,73.14521440287541,78.13543887931611,63.83990948165052,61.75333630366392,66.13221225817252
LightGBM calendar,0,6,1596,77.6073831206158,107.56019763117249,1.4543445537066233,-9.719511224876486,324,177.37183587332896,-177.37183587332896,,,,,,,73.01785399553663,81.72004356846675,38.308510940164666,36.11741438306477,40.16147383054727
LightGBM calendar,0,24,1596,72.16509451056953,94.7996298481882,1.357911941169261,-6.769185135531941,349,146.27750981695053,-146.27750981695053,,,,,,,69.81214765621155,74.64033932941618,-4.271622281410422,-6.672107680874289,-1.9722264225233466
LightGBM global,24,1,1596,11.677932811863894,21.963225611662704,0.2191981580832013,0.5327205457664962,328,24.102957077746414,-4.886965829405582,,,,,,,10.855072702058406,12.55311211311504,-0.07206718813610528,-0.41503239597445857,0.25876165136400525
LightGBM global,24,6,1596,37.2532884746018,63.09899029677564,0.6965551902440954,-3.8531041275174296,324,75.49387752341167,-58.880705649178765,,,,,,,34.210898722756724,39.92012983499667,-2.0455837058493236,-2.9898385932091887,-1.2519508987538466
LightGBM global,24,24,1596,62.326369122137315,85.4055447856363,1.170127760507769,-2.317338277931482,349,109.82153049061965,-106.0372142912098,,,,,,,59.18426568074955,65.53135180377231,-14.110347669842636,-16.36212028585468,-11.950810920071207
LightGBM global,72,1,1596,11.677932811863894,21.963225611662704,0.2191981580832013,0.5327205457664962,328,24.102957077746414,-4.886965829405582,,,,,,,10.855072702058406,12.55311211311504,-0.07206718813610528,-0.41503239597445857,0.25876165136400525
LightGBM global,72,6,1596,37.2532884746018,63.09899029677564,0.6965551902440954,-3.8531041275174296,324,75.49387752341167,-58.880705649178765,,,,,,,34.210898722756724,39.92012983499667,-2.0455837058493236,-2.9898385932091887,-1.2519508987538466
LightGBM global,72,24,1596,62.326369122137315,85.4055447856363,1.170127760507769,-2.317338277931482,349,109.82153049061965,-106.0372142912098,,,,,,,59.18426568074955,65.53135180377231,-14.110347669842636,-16.36212028585468,-11.950810920071207
