history_hours,horizon,overall_pinball,overall_coverage80,overall_width80,high_pinball,high_coverage80,high_width80
24,1,4.400776603168115,0.8032581453634086,48.70499351045542,8.032339217023152,0.8597560975609756,99.27139528786263
24,6,16.042327696493295,0.6528822055137845,114.7419780268705,24.174483663358803,0.7469135802469136,232.63788932929805
24,24,30.143438720553736,0.4981203007518797,216.84851803098405,52.832652976793,0.5071633237822349,518.2580497380998
72,1,4.070070376402155,0.7913533834586466,40.08342507578676,7.291125514642979,0.8475609756097561,78.11322375041682
72,6,14.040901602240732,0.6917293233082706,103.84884544123982,22.66606249416807,0.6975308641975309,196.9199733910737
72,24,25.390697697439883,0.5789473684210527,181.2596318533546,41.77091400889749,0.5702005730659025,271.3581761084177
168,1,4.074803980818966,0.7844611528822055,39.100276083874526,7.325974690817235,0.8719512195121951,81.96678270944734
168,6,13.056621951895547,0.7017543859649122,106.03950951123298,24.612630270734247,0.7376543209876543,216.94743673301036
168,24,21.399803053904495,0.6553884711779449,157.16893824987244,46.19852525935132,0.5587392550143266,238.4794066355358
720,1,3.924431154941058,0.7581453634085213,37.50224985992699,7.178747588832203,0.8384146341463414,77.86740979915712
720,6,11.578878438801395,0.7343358395989975,102.47386333757176,23.106792218400617,0.7345679012345679,202.73856492690098
720,24,17.940250934853392,0.6766917293233082,157.53458974176183,35.8511823331729,0.5959885386819485,240.05002949230993
2160,1,3.9150987270979853,0.7600250626566416,35.454525182719216,6.805913796463633,0.8292682926829268,67.80583321175924
2160,6,12.399965947094618,0.724937343358396,104.80214463618763,23.245103806232716,0.7191358024691358,199.01975294984416
2160,24,18.941973121502844,0.6635338345864662,169.9433042817845,37.302823531980614,0.5415472779369628,243.43181549443898
