station,model,horizon,threshold_hours,mature_mae
Nongzhanguan,Chronos-2,24,168,61.34992128429991
Nongzhanguan,LightGBM global,1,24,11.710692179276009
Nongzhanguan,LightGBM global,6,24,38.90536901771807
Nongzhanguan,LightGBM global,24,24,59.176903337756784
Nongzhanguan,LightGBM global+local,1,24,11.951378156460725
Nongzhanguan,LightGBM global+local,6,24,37.935330791341464
Nongzhanguan,LightGBM global+local,24,24,58.680865221102096
Nongzhanguan,Persistence,1,24,12.333333333333334
Nongzhanguan,Persistence,6,24,40.61363636363637
Nongzhanguan,Persistence,24,24,81.1969696969697
Nongzhanguan,Seasonal day,1,24,87.13636363636364
Nongzhanguan,Seasonal day,6,24,86.10606060606061
Nongzhanguan,Seasonal day,24,24,81.1969696969697
Nongzhanguan,Seasonal week,1,168,105.65151515151516
Nongzhanguan,Seasonal week,6,168,94.04545454545455
Nongzhanguan,Seasonal week,24,168,108.04545454545455
Shunyi,Chronos-2,1,72,11.434082159475118
Shunyi,Chronos-2,6,72,38.955273604192655
Shunyi,Chronos-2,24,168,65.50989226333233
Shunyi,LightGBM global,1,24,11.530683044716959
Shunyi,LightGBM global,6,24,40.75578362274136
Shunyi,LightGBM global,24,24,64.23478259173032
Shunyi,LightGBM global+local,1,24,11.24142366295202
Shunyi,LightGBM global+local,6,24,41.233011616259525
Shunyi,LightGBM global+local,24,24,64.76311687972367
Shunyi,Persistence,1,24,11.974789915966387
Shunyi,Persistence,6,24,40.226890756302524
Shunyi,Persistence,24,24,84.3109243697479
Shunyi,Seasonal day,1,24,85.68067226890756
Shunyi,Seasonal day,6,24,86.74789915966386
Shunyi,Seasonal day,24,24,84.3109243697479
Shunyi,Seasonal week,1,168,111.7983193277311
Shunyi,Seasonal week,6,168,113.3529411764706
Shunyi,Seasonal week,24,168,110.33613445378151
Tiantan,Chronos-2,1,168,10.894772989766581
Tiantan,Chronos-2,6,720,40.06625111453183
Tiantan,Chronos-2,24,168,67.77187727548025
Tiantan,LightGBM global,1,24,12.42256487739988
Tiantan,LightGBM global,6,24,38.99314150143489
Tiantan,LightGBM global,24,24,65.19602002011784
Tiantan,LightGBM global+local,1,24,12.685518238767077
Tiantan,LightGBM global+local,6,24,38.53497029337569
Tiantan,LightGBM global+local,24,24,64.70633250033669
Tiantan,Persistence,1,24,12.286713286713287
Tiantan,Persistence,6,24,40.81118881118881
Tiantan,Persistence,24,24,79.1048951048951
Tiantan,Seasonal day,1,24,78.41958041958041
Tiantan,Seasonal day,6,24,80.55944055944056
Tiantan,Seasonal day,24,24,79.1048951048951
Tiantan,Seasonal week,1,168,106.11888111888112
Tiantan,Seasonal week,6,168,104.00699300699301
Tiantan,Seasonal week,24,168,109.39160839160839
Wanliu,Chronos-2,1,72,10.107126404639004
Wanliu,Chronos-2,6,720,35.891941537662426
Wanliu,Chronos-2,24,720,56.580744230828316
Wanliu,LightGBM global,1,24,10.740801625063863
Wanliu,LightGBM global,6,24,35.766472585110755
Wanliu,LightGBM global,24,24,62.45544869635701
Wanliu,LightGBM global+local,1,24,10.392174084973044
Wanliu,LightGBM global+local,6,24,36.08923031601405
Wanliu,LightGBM global+local,24,24,61.52701539182114
Wanliu,Persistence,1,24,10.387755102040817
Wanliu,Persistence,6,24,36.156462585034014
Wanliu,Persistence,24,24,71.02721088435374
Wanliu,Seasonal day,1,24,76.48979591836735
Wanliu,Seasonal day,6,24,80.53061224489795
Wanliu,Seasonal day,24,24,71.02721088435374
Wanliu,Seasonal week,1,168,99.72789115646259
Wanliu,Seasonal week,6,168,92.40136054421768
Wanliu,Seasonal week,24,168,98.41496598639456
Wanshouxigong,Chronos-2,1,720,13.130632755674165
Wanshouxigong,Chronos-2,6,168,43.376135740609
Wanshouxigong,Chronos-2,24,168,69.81723539418188
Wanshouxigong,LightGBM global,1,24,15.28689556071391
Wanshouxigong,LightGBM global,6,24,43.17943782541252
Wanshouxigong,LightGBM global,24,24,68.84520110847858
Wanshouxigong,LightGBM global+local,1,24,16.038020178345786
Wanshouxigong,LightGBM global+local,6,24,42.36181170384083
Wanshouxigong,LightGBM global+local,24,24,68.76505101674856
Wanshouxigong,Persistence,1,24,14.806896551724137
Wanshouxigong,Persistence,6,24,45.08275862068965
Wanshouxigong,Persistence,24,24,83.97241379310344
Wanshouxigong,Seasonal day,1,24,85.26896551724138
Wanshouxigong,Seasonal day,6,24,84.91724137931034
Wanshouxigong,Seasonal day,24,24,83.97241379310344
Wanshouxigong,Seasonal week,1,168,113.46206896551725
Wanshouxigong,Seasonal week,6,168,106.56551724137931
Wanshouxigong,Seasonal week,24,168,115.8
